Source,Target,Type,Weight,Relationship_type,Context,Ciljana_grupa,Label
P01D51C53,TOOL_Claude,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P01D51C53,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P01D51C53,GROUP_PROSVETA,Directed,1.0,belongs_to_group,target_group,prosveta,belongs_to_group
P01D51C53,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P01D51C53,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P045E20E3,GROUP_PROSVETA,Directed,1.0,belongs_to_group,target_group,prosveta,belongs_to_group
P045E20E3,TOOL_Stable_Diffusion,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P045E20E3,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P045E20E3,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P045E20E3,TOOL_DALL-E,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P045E20E3,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P045E20E3,ORG_Univerzitet_u_Novom_Sadu,Directed,1.0,affiliated_with,organizational,prosveta,affiliated_with
P03A2B55E,GROUP_OSTALO,Directed,1.0,belongs_to_group,target_group,ostalo,belongs_to_group
P03A2B55E,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P03A2B55E,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P03A2B55E,TOOL_Stable_Diffusion,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P03A2B55E,TOOL_Midjourney,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P0078B0CB,GROUP_MEDICINA,Directed,1.0,belongs_to_group,target_group,medicina,belongs_to_group
P0078B0CB,TOOL_Claude,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P0078B0CB,TOOL_Gemini,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P00CADA81,GROUP_IT_INDUSTRIJA,Directed,1.0,belongs_to_group,target_group,it_industrija,belongs_to_group
P00CADA81,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,it_industrija,uses_tool
P00CADA81,TOOL_ChatGPT,Directed,0.2,uses_tool,ai_tool_usage,it_industrija,uses_tool
P00CADA81,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,it_industrija,uses_tool
P00CADA81,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,it_industrija,uses_tool
P00CADA81,ORG_Apple,Directed,1.0,affiliated_with,organizational,it_industrija,affiliated_with
P039CCB10,GROUP_DRUSTVENE_NAUKE,Directed,1.0,belongs_to_group,target_group,drustvene_nauke,belongs_to_group
P039CCB10,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P039CCB10,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P039CCB10,TOOL_DALL-E,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P039CCB10,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P039CCB10,ORG_Oracle,Directed,1.0,affiliated_with,organizational,drustvene_nauke,affiliated_with
P03657703,GROUP_DRUSTVENE_NAUKE,Directed,1.0,belongs_to_group,target_group,drustvene_nauke,belongs_to_group
P03657703,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P03657703,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P03657703,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P03657703,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P03657703,TOOL_DALL-E,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P00581EA6,GROUP_MEDICINA,Directed,1.0,belongs_to_group,target_group,medicina,belongs_to_group
P00581EA6,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P051888A8,GROUP_IT_INDUSTRIJA,Directed,1.0,belongs_to_group,target_group,it_industrija,belongs_to_group
P051888A8,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,it_industrija,uses_tool
P051888A8,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,it_industrija,uses_tool
P051888A8,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,it_industrija,uses_tool
P051888A8,TOOL_Claude,Directed,0.2,uses_tool,ai_tool_usage,it_industrija,uses_tool
P051888A8,ORG_Apple,Directed,1.0,affiliated_with,organizational,it_industrija,affiliated_with
P00D945FF,GROUP_OSTALO,Directed,1.0,belongs_to_group,target_group,ostalo,belongs_to_group
P00D945FF,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P00D945FF,TOOL_DALL-E,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P00D945FF,TOOL_Claude,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P00D945FF,TOOL_Gemini,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P00D945FF,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P00D945FF,ORG_Nordeus,Directed,1.0,affiliated_with,organizational,ostalo,affiliated_with
P043A241C,GROUP_MEDICINA,Directed,1.0,belongs_to_group,target_group,medicina,belongs_to_group
P043A241C,TOOL_ChatGPT,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P015A2265,GROUP_PROSVETA,Directed,1.0,belongs_to_group,target_group,prosveta,belongs_to_group
P015A2265,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P015A2265,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P039CCB10,GROUP_DRUSTVENE_NAUKE,Directed,1.0,belongs_to_group,target_group,drustvene_nauke,belongs_to_group
P039CCB10,TOOL_Midjourney,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P039CCB10,TOOL_Stable_Diffusion,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P039CCB10,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P039CCB10,TOOL_ChatGPT,Directed,0.2,uses_tool,ai_tool_usage,drustvene_nauke,uses_tool
P039CCB10,ORG_RT-RK,Directed,1.0,affiliated_with,organizational,drustvene_nauke,affiliated_with
P00CADA81,GROUP_OSTALO,Directed,1.0,belongs_to_group,target_group,ostalo,belongs_to_group
P00CADA81,TOOL_DALL-E,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P00CADA81,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P00CADA81,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P00CADA81,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P00CADA81,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,ostalo,uses_tool
P017C72DA,GROUP_PROSVETA,Undirected,1.0,member_of_group,group_membership,prosveta,pripada_grupi
P03A2B55E,GROUP_PROSVETA,Undirected,1.0,member_of_group,group_membership,prosveta,pripada_grupi
P03657703,GROUP_PROSVETA,Undirected,1.0,member_of_group,group_membership,prosveta,pripada_grupi
P01D51C53,GROUP_PROSVETA,Undirected,1.0,member_of_group,group_membership,prosveta,pripada_grupi
P045E20E3,GROUP_PROSVETA,Undirected,1.0,member_of_group,group_membership,prosveta,pripada_grupi
P015A2265,GROUP_PROSVETA,Undirected,1.0,member_of_group,group_membership,prosveta,pripada_grupi
P01BDE407,GROUP_MEDICINA,Undirected,1.0,member_of_group,group_membership,medicina,pripada_grupi
P01F884A5,GROUP_MEDICINA,Undirected,1.0,member_of_group,group_membership,medicina,pripada_grupi
P0078B0CB,GROUP_MEDICINA,Undirected,1.0,member_of_group,group_membership,medicina,pripada_grupi
P00581EA6,GROUP_MEDICINA,Undirected,1.0,member_of_group,group_membership,medicina,pripada_grupi
P043A241C,GROUP_MEDICINA,Undirected,1.0,member_of_group,group_membership,medicina,pripada_grupi
P01D51C53,GROUP_KREATIVNA_FILMSKA,Undirected,1.0,member_of_group,group_membership,kreativna_filmska,pripada_grupi
P00581EA6,GROUP_KREATIVNA_FILMSKA,Undirected,1.0,member_of_group,group_membership,kreativna_filmska,pripada_grupi
P01D51C53,GROUP_KREATIVNA_FILMSKA,Undirected,1.0,member_of_group,group_membership,kreativna_filmska,pripada_grupi
P03A2B55E,GROUP_OSTALO,Undirected,1.0,member_of_group,group_membership,ostalo,pripada_grupi
P00D945FF,GROUP_OSTALO,Undirected,1.0,member_of_group,group_membership,ostalo,pripada_grupi
P00CADA81,GROUP_OSTALO,Undirected,1.0,member_of_group,group_membership,ostalo,pripada_grupi
P00CADA81,GROUP_IT_INDUSTRIJA,Undirected,1.0,member_of_group,group_membership,it_industrija,pripada_grupi
P051888A8,GROUP_IT_INDUSTRIJA,Undirected,1.0,member_of_group,group_membership,it_industrija,pripada_grupi
P039CCB10,GROUP_DRUSTVENE_NAUKE,Undirected,1.0,member_of_group,group_membership,drustvene_nauke,pripada_grupi
P03657703,GROUP_DRUSTVENE_NAUKE,Undirected,1.0,member_of_group,group_membership,drustvene_nauke,pripada_grupi
P039CCB10,GROUP_DRUSTVENE_NAUKE,Undirected,1.0,member_of_group,group_membership,drustvene_nauke,pripada_grupi
GROUP_PROSVETA,GROUP_MEDICINA,Undirected,0.9,tool_similarity,inter_group_similarity,prosveta_medicina,slični_alati (9)
GROUP_PROSVETA,GROUP_KREATIVNA_FILMSKA,Undirected,0.8,tool_similarity,inter_group_similarity,prosveta_kreativna_filmska,slični_alati (8)
GROUP_PROSVETA,GROUP_OSTALO,Undirected,0.9,tool_similarity,inter_group_similarity,prosveta_ostalo,slični_alati (9)
GROUP_PROSVETA,GROUP_IT_INDUSTRIJA,Undirected,0.6,tool_similarity,inter_group_similarity,prosveta_it_industrija,slični_alati (6)
GROUP_PROSVETA,GROUP_DRUSTVENE_NAUKE,Undirected,0.8,tool_similarity,inter_group_similarity,prosveta_drustvene_nauke,slični_alati (8)
GROUP_MEDICINA,GROUP_KREATIVNA_FILMSKA,Undirected,0.8888888888888888,tool_similarity,inter_group_similarity,medicina_kreativna_filmska,slični_alati (8)
GROUP_MEDICINA,GROUP_OSTALO,Undirected,0.8,tool_similarity,inter_group_similarity,medicina_ostalo,slični_alati (8)
GROUP_MEDICINA,GROUP_IT_INDUSTRIJA,Undirected,0.6666666666666666,tool_similarity,inter_group_similarity,medicina_it_industrija,slični_alati (6)
GROUP_MEDICINA,GROUP_DRUSTVENE_NAUKE,Undirected,0.7,tool_similarity,inter_group_similarity,medicina_drustvene_nauke,slični_alati (7)
GROUP_KREATIVNA_FILMSKA,GROUP_OSTALO,Undirected,0.7,tool_similarity,inter_group_similarity,kreativna_filmska_ostalo,slični_alati (7)
GROUP_KREATIVNA_FILMSKA,GROUP_IT_INDUSTRIJA,Undirected,0.75,tool_similarity,inter_group_similarity,kreativna_filmska_it_industrija,slični_alati (6)
GROUP_KREATIVNA_FILMSKA,GROUP_DRUSTVENE_NAUKE,Undirected,0.7777777777777778,tool_similarity,inter_group_similarity,kreativna_filmska_drustvene_nauke,slični_alati (7)
GROUP_OSTALO,GROUP_IT_INDUSTRIJA,Undirected,0.5,tool_similarity,inter_group_similarity,ostalo_it_industrija,slični_alati (5)
GROUP_OSTALO,GROUP_DRUSTVENE_NAUKE,Undirected,0.7,tool_similarity,inter_group_similarity,ostalo_drustvene_nauke,slični_alati (7)
GROUP_IT_INDUSTRIJA,GROUP_DRUSTVENE_NAUKE,Undirected,0.5555555555555556,tool_similarity,inter_group_similarity,it_industrija_drustvene_nauke,slični_alati (5)
