timestamp,godina_rodjenja,drzava,strucna_sprema,radni_odnos,grana_oblast,godine_staza,institucija,uza_oblast,pisanje_softvera,generativni_ai_poznavanje,programski_jezici,programska_okruzenja,poznati_ai_alati,ostalo_poznati_ai_alati,svrhe_koriscenja,ostalo_svrhe,poznavanje_principa,prompt_engineering,tehnicko_razumevanje,problemi_ai,pravni_okviri,provere_ai,metode_evaluacije,ogranicenja_ai,transformer_elementi,tehnike_treniranja,koncepti_poznavanje,chatgpt_omni,copilot_task,copilot_chat,google_model,gpt_realtime,codex_successor,chatgpt_data_analysis,copilot_workspace,anthropic_model,creativity_parameter,transformer_basis,university_guidelines
2025-09-16 02:55:24,2004,Nemačka,srednja,ne,Informacione tehnologije,3-5,,DevOps,ponekad,2,JavaScript,PyCharm,"github_copilot,gemini,tabnine,claude",,"dokumentacija,debugging,testiranje",,4,3,"tokenizacija,context_window,fine_tuning","bias,dependency","copyright,ai_act","automated_testing,peer_review","security,user_feedback",3,"multi_head_attention,attention_heads","few_shot,supervised_learning,reinforcement_learning",1,ne_znam,Copilot Agents,Copilot X,Claude 3.5 Sonnet,GPT-3.5,Codex,Advanced Data Analysis (Code Interpreter),Copilot Workspace,ne_znam,Temperature,Transformeri,Stanford
2025-09-01 07:23:24,2001,Makedonija,master,ne,Elektrotehnika,1-3,,Backend razvoj,ponekad,5,Ruby,IntelliJ IDEA,"chatgpt,copilot_chat",,"dokumentacija,ucenje,kod_pisanje,debugging",,1,1,"few_shot_learning,tokenizacija","hallucinations,privacy,misinformation","copyright,gdpr,liability","manual_review,automated_testing,version_control","performance,user_feedback,functionality",2,"residual_connections,multi_head_attention,layer_normalization","transfer_learning,supervised_learning,reinforcement_learning",2,GPT-4,Copilot 2021,Copilot Workspace,ne_znam,GPT-40,GPT-3.5,ChatGPT Editor,Copilot Workspace,Codex,Temperature,ne_znam,Stanford
2025-09-25 05:59:24,1997,Crna Gora,visa,da,Informacione tehnologije,10+,Microsoft Srbija,Mobile razvoj,retko,1,Python,Visual Studio,"gemini,tabnine,copilot_chat",,"kod_objasnjavanje,kod_pisanje,testiranje",,4,2,"context_window,attention_mechanism,fine_tuning,few_shot_learning","hallucinations,privacy",ai_act,"version_control,peer_review,automated_testing,documentation","user_feedback,functionality,security",4,"residual_connections,attention_heads,layer_normalization","unsupervised_learning,reinforcement_learning,supervised_learning",4,GPT-5,Copilot 2021,Copilot Workspace,Claude 3 Sonnet,GPT-40,GPT-2,Copilot Workspace,Copilot X,Gemini,Learning rate,Transformeri,Stanford
2025-09-08 18:48:24,2004,Slovenija,master,da,Mašinstvo,0-1,Microsoft Srbija,AI/ML,ponekad,4,C#,Vim/Neovim,"gemini,tabnine",,"debugging,kod_pisanje,dokumentacija,ucenje",,4,5,"attention_mechanism,embeddings,tokenizacija,few_shot_learning","job_displacement,misinformation,privacy,dependency",gdpr,"validation,documentation,automated_testing","functionality,security,code_quality,performance",1,"layer_normalization,feed_forward,attention_heads,positional_encoding","transfer_learning,few_shot",4,GPT-3.5,Copilot Agents,Copilot X,Gemini,GPT-4,GPT-3.5,ChatGPT Task Runner,Copilot 2021,LLaMA,Learning rate,Transformeri,MIT
2025-08-25 14:04:24,1999,Srbija,visoka,ne,Drugo,5-10,,Mobile razvoj,uvek,3,C#,Eclipse,"chatgpt,claude",,"dokumentacija,ucenje",,4,4,"embeddings,fine_tuning","hallucinations,dependency,job_displacement","liability,gdpr,ai_act","manual_review,version_control,peer_review,documentation","security,functionality,performance,user_feedback",3,"positional_encoding,residual_connections,layer_normalization","zero_shot,transfer_learning",3,GPT-4,ne_znam,Copilot 2021,LLaMA,GPT-40,ne_znam,ChatGPT Agent,Copilot 2021,Claude,ne_znam,ne_znam,Oxford
2025-09-18 14:34:24,2000,Bosna i Hercegovina,visoka,ne,Fizika,1-3,,DevOps,cesto,1,PHP,VS Code,"gemini,copilot_chat,tabnine,github_copilot",,"debugging,kod_objasnjavanje,ucenje",,2,2,"tokenizacija,attention_mechanism","privacy,hallucinations","accountability,ai_act,gdpr","version_control,validation,automated_testing,peer_review","performance,maintainability,functionality",4,"feed_forward,positional_encoding,multi_head_attention,residual_connections","few_shot,zero_shot",4,GPT-5,Copilot Agents,Copilot Agents,Gemini,GPT-40,GPT-3,Advanced Data Analysis (Code Interpreter),Copilot 2021,ne_znam,Attention heads,K-means clustering,MIT
2025-09-11 10:13:24,2000,Crna Gora,master,ne,Mašinstvo,5-10,,Mobile razvoj,nikad,2,C#,Vim/Neovim,"github_copilot,tabnine,copilot_chat,gemini",,"ucenje,kod_pisanje",,4,2,"context_window,few_shot_learning,attention_mechanism","job_displacement,hallucinations","gdpr,transparency,accountability","peer_review,automated_testing,validation","user_feedback,functionality",2,"positional_encoding,feed_forward,attention_heads","supervised_learning,transfer_learning,unsupervised_learning",4,GPT-40,Copilot Workspace,Copilot 2021,ne_znam,ne_znam,Codex,Copilot Workspace,Copilot 2021,LLaMA,Temperature,Transformeri,ne_znam
2025-08-29 05:01:24,2002,Hrvatska,visa,ne,Matematika,0-1,,Drugo,retko,5,Go,IntelliJ IDEA,"copilot_chat,gemini",,"kod_objasnjavanje,dokumentacija,ucenje,testiranje",,5,5,"fine_tuning,tokenizacija,embeddings","misinformation,hallucinations","accountability,transparency","automated_testing,peer_review","performance,functionality,user_feedback,maintainability",1,"residual_connections,layer_normalization,multi_head_attention,feed_forward","zero_shot,few_shot,unsupervised_learning",1,GPT-4.1,Copilot Workspace,ne_znam,ne_znam,GPT-40,Codex,Advanced Data Analysis (Code Interpreter),Copilot Agents,Claude,Temperature,ne_znam,Stanford
2025-09-06 16:56:24,2004,Srbija,visa,ne,Drugo,3-5,,Frontend razvoj,cesto,1,Python,Visual Studio,"claude,copilot_chat,chatgpt",,"dokumentacija,debugging,testiranje",,4,1,"attention_mechanism,fine_tuning","bias,hallucinations",liability,"version_control,documentation,manual_review","performance,functionality,user_feedback",3,"positional_encoding,feed_forward,attention_heads","unsupervised_learning,reinforcement_learning,few_shot",1,GPT-40,Copilot Workspace,Copilot X,Gemini,ne_znam,GPT-3.5,Advanced Data Analysis (Code Interpreter),ne_znam,ne_znam,Attention heads,ne_znam,Oxford
2025-09-14 04:10:24,1997,Crna Gora,visoka,da,Fizika,0-1,Google,Data Science,nikad,1,JavaScript,Visual Studio,"chatgpt,gemini,copilot_chat",,"ucenje,testiranje,kod_pisanje,debugging,dokumentacija",,4,1,"fine_tuning,tokenizacija,few_shot_learning,context_window","dependency,misinformation,privacy,bias","accountability,liability","manual_review,documentation,validation","functionality,maintainability,security,user_feedback",2,"positional_encoding,attention_heads,feed_forward,residual_connections","transfer_learning,reinforcement_learning,unsupervised_learning",5,GPT-40,Copilot Workspace,Copilot Agents,Claude 3 Sonnet,ne_znam,Codex,Advanced Data Analysis (Code Interpreter),Copilot Workspace,Claude,ne_znam,ne_znam,Sorbonne
2025-09-25 14:02:54,1998,srbija,master,da,Informatika/IT,3-5,FIS Global,Backend development,da,da,da,da,ChatGPT,,Pisanje koda,,povrsno,da_koristim,Fine-tuning modela na sopstvenim podacima,Autorska prava i plagijati,Ne poznajem,,Ne znam ni jednu,ne_razlikujem,Encoder,Ne znam,agent,GPT-40,Copilot X,Copilot 2021,Claude 3 Sonnet,GPT-3.5,GPT-3,ChatGPT Editor,Copilot X,Gemini,Dropout,K-means clustering,Stanford
